iter	RMSE
0	0.6697122074
1	0.6669478929
2	0.6647701932
3	0.6591219719
4	0.6543412973
5	0.6510498754
6	0.6477994022
7	0.6450172251
8	0.6425618638
9	0.6401307676
10	0.6375272415
11	0.6346584554
12	0.6328120413
13	0.6274938503
14	0.6259061795
15	0.621259626
16	0.6149522597
17	0.6118202099
18	0.6090372057
19	0.6075271607
20	0.6050499365
21	0.6020954513
22	0.5998118175
23	0.5977693945
24	0.5956917096
25	0.5932815764
26	0.5901587359
27	0.5863444366
28	0.5840615314
29	0.5814251779
30	0.5785455127
31	0.5744194576
32	0.5727951604
33	0.5712663627
34	0.5679342954
35	0.5662277833
36	0.564415825
37	0.5623878146
38	0.5608498885
39	0.5591213278
40	0.5553171353
41	0.5531430441
42	0.550075063
43	0.5483828779
44	0.545736324
45	0.5432599682
46	0.5412096458
47	0.5387541978
48	0.5353138219
49	0.5335471594
50	0.5316361295
51	0.528474195
52	0.5266290462
53	0.5237839114
54	0.5224356598
55	0.5195289355
56	0.5178091358
57	0.5158745887
58	0.5145131665
59	0.5111598911
60	0.5078801037
61	0.5064460461
62	0.5040904532
63	0.502747492
64	0.5010470539
65	0.4987999364
66	0.4973783593
67	0.4956263528
68	0.4943808473
69	0.492215342
70	0.4902866005
71	0.4877629722
72	0.4846997984
73	0.4826405249
74	0.4815697459
75	0.4794562125
76	0.477647152
77	0.4752640712
78	0.4719694729
79	0.4700137587
80	0.46785179
81	0.4656693664
82	0.4635484997
83	0.4619993097
84	0.4601189155
85	0.4587711259
86	0.4563101442
87	0.4548771509
88	0.4533989806
89	0.4517917951
90	0.4500853748
91	0.4485233571
92	0.44746323
93	0.4462711308
94	0.4438434874
95	0.4424409675
96	0.4409228236
97	0.4397696626
98	0.4375770454
99	0.4361193415
100	0.4335087754
101	0.432340443
102	0.4295631922
103	0.4283413635
104	0.4271627321
105	0.4254299155
106	0.4240810929
107	0.4226930706
108	0.4215824753
109	0.4205461049
110	0.4190406865
111	0.4179149285
112	0.4157345491
113	0.4137784564
114	0.4120907609
115	0.4103457059
116	0.4084523319
117	0.4066381609
118	0.4042670037
119	0.4033280615
120	0.4006619098
121	0.3993337037
122	0.3976614468
123	0.3958181674
124	0.3947096646
125	0.3931879897
126	0.3911173098
127	0.3893118106
128	0.38809912
129	0.3855777707
130	0.3842784632
131	0.3830389861
132	0.3812089589
133	0.3799077251
134	0.3776310383
135	0.375737074
136	0.373692375
137	0.3719708515
138	0.3704502978
139	0.3693598765
140	0.3679241234
141	0.3659303018
142	0.3651457845
143	0.363986664
144	0.3616873581
145	0.3594705783
146	0.3584428318
147	0.3566589697
148	0.3556042671
149	0.3546136083
150	0.3526920766
151	0.3516403923
152	0.3503383683
153	0.3485725229
154	0.3473722475
155	0.3462365724
156	0.3448603343
157	0.3423669608
158	0.3412543917
159	0.340523303
160	0.3390253633
161	0.3381591405
162	0.3370431539
163	0.3357226666
164	0.3347139361
165	0.3336295526
166	0.3323298914
167	0.331131362
168	0.3300759424
169	0.3284128321
170	0.3275668845
171	0.326046221
172	0.3251243481
173	0.3238668955
174	0.3232917141
175	0.3222832676
176	0.3219329685
177	0.3202548415
178	0.3191593485
179	0.3175831242
180	0.3164225649
181	0.3152364585
182	0.3141417459
183	0.312983363
184	0.3115020075
185	0.3104825453
186	0.308922097
187	0.3075336898
188	0.3060750846
189	0.3050655881
190	0.3037726746
191	0.3023068441
192	0.3000063702
193	0.2994048615
194	0.2982524629
195	0.2971476824
196	0.2962036223
197	0.2947751116
198	0.2939972975
199	0.2936403753
200	0.2932346542
201	0.292261729
202	0.2917634357
203	0.2907354622
204	0.2900585313
205	0.289094002
206	0.2886769181
207	0.2883142813
208	0.2877929817
209	0.2865164274
210	0.2846423318
211	0.2836877705
212	0.2822264156
213	0.280080631
214	0.278935803
215	0.2781980105
216	0.2778096254
217	0.276737211
218	0.2763140333
219	0.2754936108
220	0.2746808707
221	0.2733117235
222	0.2728408654
223	0.2721200421
224	0.2717313434
225	0.2712107626
226	0.2702977148
227	0.2692590311
228	0.2685960049
229	0.2683120971
230	0.2678323529
231	0.2670475461
232	0.2661608197
233	0.2650668825
234	0.2640801897
235	0.2634501091
236	0.2624948568
237	0.2620078043
238	0.2614801447
239	0.2609027715
240	0.2603439771
241	0.2599072402
242	0.259290477
243	0.2588672998
244	0.25843621
245	0.2571851916
246	0.2560606733
247	0.2550046605
248	0.2544435462
249	0.2536285413
250	0.2531159928
251	0.2527501146
252	0.2517751201
253	0.2509595555
254	0.2505293094
255	0.2501034937
256	0.249534391
257	0.2489677556
258	0.2486361954
259	0.2477587705
260	0.2472826014
261	0.2467053634
262	0.2462064644
263	0.245468546
264	0.244933802
265	0.2442942261
266	0.2439859394
267	0.2435119496
268	0.2429716409
269	0.2417449546
270	0.2409767071
271	0.2407064644
272	0.2399044637
273	0.2387810792
274	0.2382127877
275	0.2376065807
276	0.2372825832
277	0.2364780774
278	0.2361092796
279	0.2356835807
280	0.2342481187
281	0.23339957
282	0.2330511326
283	0.2322612147
284	0.2315401545
285	0.2306054201
286	0.2298029346
287	0.2289522862
288	0.2279913824
289	0.2272700595
290	0.2265756537
291	0.2261104163
292	0.225376071
293	0.2250500573
294	0.2243565772
295	0.2235633303
296	0.2233054606
297	0.2228867933
298	0.2222377123
299	0.2215156584
300	0.2210407793
301	0.2206408129
302	0.2200579782
303	0.2195366641
304	0.2192719435
305	0.2188067984
306	0.21862479
307	0.2173734082
308	0.2167506454
309	0.2162857455
310	0.2156740812
311	0.2153491803
312	0.2148370191
313	0.2140027984
314	0.2134562565
315	0.2131788678
316	0.2128283147
317	0.2121353416
318	0.2118917922
319	0.2116159043
320	0.210895528
321	0.2105116915
322	0.2099676766
323	0.2089497376
324	0.2088171993
325	0.2076952319
326	0.2071668636
327	0.2068038831
328	0.2066064471
329	0.2062221234
330	0.2056602918
331	0.2054327511
332	0.2047645968
333	0.2044386979
334	0.2040858047
335	0.203479171
336	0.202828628
337	0.2025435428
338	0.2021534179
339	0.2019293049
340	0.2013782941
341	0.2008398044
342	0.2002583701
343	0.1998408394
344	0.1994883087
345	0.1987060232
346	0.1982992143
347	0.1970508867
348	0.1967889855
349	0.1961849728
350	0.1956318111
351	0.1951272633
352	0.1948540257
353	0.1940009222
354	0.1932723126
355	0.192981154
356	0.1925567804
357	0.1921100017
358	0.190921654
359	0.1901149501
360	0.1897964137
361	0.1891769523
362	0.188586446
363	0.1878543422
364	0.1876015457
365	0.1871735869
366	0.1868981363
367	0.1864624063
368	0.1858526369
369	0.1851266533
370	0.1846047091
371	0.184220155
372	0.1838196134
373	0.1831353576
374	0.1826389054
375	0.1819202042
376	0.1814377174
377	0.1812349688
378	0.180944234
379	0.1803535563
380	0.1799151776
381	0.1797004363
382	0.1794174704
383	0.1787602055
384	0.1786131443
385	0.1784088271
386	0.1779282811
387	0.1772045361
388	0.1769386409
389	0.1767691014
390	0.1760682642
391	0.1754997838
392	0.1750497682
393	0.1747483651
394	0.1740296895
395	0.1737343181
396	0.1734562686
397	0.1727532726
398	0.1725376608
399	0.1718405135
